Category,Question,Answer
Historical & Political Promises,"Which U.S. president famously promised “Read my lips: no new taxes,” only to later approve a tax increase?",George H.W. Bush
Historical & Political Promises,What was the name of the treaty signed in 1919 that was meant to secure lasting peace but ultimately contributed to World War II?,Treaty of Versailles
Historical & Political Promises,What 1970s political scandal involved a president breaking his promise to be truthful about a break-in at the Democratic National Committee headquarters?,Watergate Scandal
Historical & Political Promises,Which country voted to leave the European Union in 2016 after politicians promised it would free up £350 million a week for the NHS—an assertion later discredited?,United Kingdom (Brexit)
Historical & Political Promises,"Which Soviet leader promised reforms under “glasnost” and “perestroika,” only to see the USSR collapse in 1991?",Mikhail Gorbachev
Economic & Business Betrayals,"What major company’s 2008 slogan was “Don’t be evil,” a principle critics say was later abandoned?",Google
Economic & Business Betrayals,Which airline promised “you’ll love the way we fly” before suffering one of the worst corporate meltdowns in history in December 2022?,Southwest Airlines
Economic & Business Betrayals,"In 1929, what financial catastrophe shattered the belief that stock market prosperity would last forever?",The Stock Market Crash of 1929
Economic & Business Betrayals,Which fast-food chain was sued for allegedly misleading customers about its “footlong” sandwiches not actually being 12 inches?,Subway
Economic & Business Betrayals,"Which technology CEO promised to “revolutionize healthcare” with a pinprick blood test, only to be convicted of fraud in 2022?",Elizabeth Holmes (Theranos)
Literary & Mythological Betrayals,"In Shakespeare’s Julius Caesar, which character breaks his promise of loyalty by assassinating Caesar, prompting the famous last words, “Et tu, Brute?”",Brutus
Literary & Mythological Betrayals,"What biblical figure sold his birthright for a bowl of stew, later regretting the deal when his brother refused to honor it?",Esau
Literary & Mythological Betrayals,"In Game of Thrones, which character violated the sacred “Guest Right” by massacring their dinner guests at the Red Wedding?",Walder Frey
Literary & Mythological Betrayals,"Which classic novel revolves around a doctor who breaks his oath to do no harm, creating a monstrous being in the process?",Frankenstein by Mary Shelley
Literary & Mythological Betrayals,"In Greek mythology, which hero broke his vow never to look back while leading his wife out of the underworld, dooming her forever?",Orpheus
Pop Culture & Entertainment Betrayals,Which pop star was criticized for promising no more tears left to cry—only to release another tearful breakup album?,Ariana Grande
Pop Culture & Entertainment Betrayals,Which 2000s reality show was revealed to have broken its promise of fairness when a contestant exposed its rigged challenges?,Survivor
Pop Culture & Entertainment Betrayals,Which 1990s sitcom featured an episode about a character making a “Vow of Silence” but immediately spilling the secret?,Seinfeld
Pop Culture & Entertainment Betrayals,"Which band famously sang, “I promise you I will learn from my mistakes” in 2003, despite releasing more sad breakup songs later?",Coldplay
Pop Culture & Entertainment Betrayals,"In The Godfather, what favor does Michael Corleone break his promise to deny, leading to a dramatic betrayal?",Carlo Rizzi’s execution request
